Team,3P%,2P%,PTS
Toronto Raptors*,.337,.499,106.5
Boston Celtics*,.340,.508,107.3
Indiana Pacers*,.341,.511,107.5
Los Angeles Lakers*,.349,.510,107.6
Orlando Magic*,.364,.529,108.3
Philadelphia 76ers*,.353,.520,108.4
Oklahoma City Thunder*,.340,.523,108.4
Milwaukee Bucks*,.355,.457,108.6
Utah Jazz*,.353,.512,108.8
Miami Heat*,.347,.525,109.1
Denver Nuggets*,.358,.530,109.2
Charlotte Hornets,.352,.558,109.6
Los Angeles Clippers*,.345,.499,109.9
Chicago Bulls,.353,.557,109.9
Detroit Pistons,.361,.541,110.8
Sacramento Kings,.357,.549,112.1
Dallas Mavericks*,.351,.523,112.1
Brooklyn Nets*,.350,.503,112.3
New York Knicks,.381,.520,112.3
Phoenix Suns,.363,.535,113.4
Memphis Grizzlies,.365,.504,113.7
Houston Rockets*,.349,.532,114.8
Cleveland Cavaliers,.375,.558,114.8
Golden State Warriors,.389,.533,115.0
San Antonio Spurs,.373,.530,115.2
Portland Trail Blazers*,.383,.501,116.1
New Orleans Pelicans,.361,.526,117.1
Minnesota Timberwolves,.363,.539,117.5
Washington Wizards,.376,.555,119.1
Atlanta Hawks,.363,.542,119.7
