Team,3P%,2P%,PTS
,,,
Orlando Magic*,.365,.532,105.5
Boston Celtics*,.347,.524,107.2
Oklahoma City Thunder*,.342,.513,107.6
Los Angeles Clippers*,.350,.545,108.2
Minnesota Timberwolves*,.353,.534,109.3
Houston Rockets*,.357,.524,109.8
Miami Heat*,.360,.545,110.0
Golden State Warriors*,.363,.539,110.5
New York Knicks*,.367,.548,111.7
Los Angeles Lakers*,.356,.544,112.2
Cleveland Cavaliers*,.359,.520,112.4
Milwaukee Bucks*,.353,.536,113.0
Detroit Pistons*,.366,.531,113.6
Indiana Pacers*,.355,.554,115.1
Dallas Mavericks*,.363,.537,115.4
Memphis Grizzlies*,.360,.529,116.9
Denver Nuggets*,.365,.538,116.9
