Team,3P%,2P%,PTS
,,,
Minnesota Timberwolves*,.354,.506,106.5
New York Knicks*,.365,.540,108.2
Orlando Magic*,.358,.546,108.4
Miami Heat*,.353,.553,108.4
Boston Celtics*,.352,.520,109.2
Denver Nuggets*,.355,.522,109.6
Cleveland Cavaliers*,.371,.521,110.2
New Orleans Pelicans*,.349,.555,110.7
Philadelphia 76ers*,.354,.541,111.5
Los Angeles Clippers*,.363,.538,112.3
Oklahoma City Thunder*,.361,.522,112.7
Memphis Grizzlies,.378,.541,112.8
Houston Rockets,.348,.540,113.2
Phoenix Suns*,.364,.529,113.2
Brooklyn Nets,.372,.534,113.3
Chicago Bulls,.370,.558,113.7
Sacramento Kings,.387,.539,114.8
Golden State Warriors,.359,.539,115.2
Portland Trail Blazers,.351,.578,115.4
Dallas Mavericks*,.368,.545,115.6
Milwaukee Bucks*,.356,.541,116.4
Charlotte Hornets,.377,.577,116.8
Los Angeles Lakers*,.376,.540,117.4
San Antonio Spurs,.373,.553,118.6
Toronto Raptors,.376,.567,118.8
Detroit Pistons,.370,.560,119.0
Indiana Pacers*,.365,.560,120.2
Atlanta Hawks,.384,.570,120.5
Utah Jazz,.395,.550,120.5
Washington Wizards,.362,.573,123.0
