Team,3P%,2P%,PTS
Chicago Bulls*,.351,.454,91.8
Indiana Pacers*,.345,.443,92.3
Memphis Grizzlies*,.355,.484,94.6
Charlotte Bobcats*,.369,.468,97.1
Miami Heat*,.362,.497,97.4
San Antonio Spurs*,.353,.469,97.6
Toronto Raptors*,.360,.478,98.0
Washington Wizards*,.347,.498,99.4
New York Knicks,.371,.496,99.4
Brooklyn Nets*,.367,.492,99.5
Golden State Warriors*,.344,.465,99.5
Oklahoma City Thunder*,.358,.468,99.8
Boston Celtics,.347,.500,100.7
Los Angeles Clippers*,.332,.479,101.0
Cleveland Cavaliers,.367,.490,101.5
Atlanta Hawks*,.365,.497,101.5
Orlando Magic,.371,.485,102.0
Utah Jazz,.376,.503,102.2
New Orleans Pelicans,.357,.507,102.4
Dallas Mavericks*,.359,.505,102.4
Phoenix Suns,.341,.492,102.6
Portland Trail Blazers*,.355,.476,102.8
Houston Rockets*,.353,.475,103.1
Sacramento Kings,.380,.491,103.4
Milwaukee Bucks,.382,.500,103.7
Minnesota Timberwolves,.364,.508,104.3
Detroit Pistons,.365,.510,104.7
Denver Nuggets,.351,.491,106.5
Los Angeles Lakers,.361,.504,109.2
Philadelphia 76ers,.370,.511,109.9
