Team,3P%,2P%,PTS
San Antonio Spurs*,.331,.470,92.9
Utah Jazz,.357,.480,95.9
Toronto Raptors*,.373,.473,98.2
Cleveland Cavaliers*,.347,.487,98.3
Miami Heat*,.347,.474,98.4
Atlanta Hawks*,.338,.469,99.2
Los Angeles Clippers*,.338,.471,100.2
Indiana Pacers*,.334,.484,100.5
Charlotte Hornets*,.349,.485,100.7
New York Knicks,.341,.479,101.1
Memphis Grizzlies*,.365,.503,101.3
Detroit Pistons*,.355,.495,101.4
Boston Celtics*,.336,.481,102.5
Dallas Mavericks*,.342,.500,102.6
Oklahoma City Thunder*,.342,.474,102.9
Chicago Bulls,.345,.474,103.1
Milwaukee Bucks,.352,.502,103.2
Orlando Magic,.359,.503,103.7
Golden State Warriors*,.332,.472,104.1
Portland Trail Blazers*,.371,.484,104.3
Washington Wizards,.371,.498,104.6
Denver Nuggets,.371,.498,105.0
Minnesota Timberwolves,.355,.520,106.0
Brooklyn Nets,.369,.526,106.0
Houston Rockets*,.361,.504,106.4
New Orleans Pelicans,.369,.510,106.5
Los Angeles Lakers,.347,.524,106.9
Phoenix Suns,.377,.505,107.5
Philadelphia 76ers,.359,.500,107.6
Sacramento Kings,.366,.508,109.1
