Team,3P%,2P%,PTS
Indiana Pacers*,.354,.507,104.7
Miami Heat,.358,.493,105.9
Memphis Grizzlies,.360,.508,106.1
Utah Jazz*,.355,.496,106.5
Orlando Magic*,.347,.513,106.6
Denver Nuggets*,.339,.528,106.7
Detroit Pistons*,.345,.530,107.3
Boston Celtics*,.344,.513,108.0
Toronto Raptors*,.345,.505,108.4
Houston Rockets*,.340,.532,109.1
Milwaukee Bucks*,.361,.479,109.3
San Antonio Spurs*,.359,.522,110.0
Dallas Mavericks,.344,.525,110.1
Portland Trail Blazers*,.359,.505,110.5
Oklahoma City Thunder*,.356,.517,111.1
Golden State Warriors*,.347,.500,111.2
Charlotte Hornets,.361,.536,111.8
Brooklyn Nets*,.341,.513,112.3
Philadelphia 76ers*,.342,.511,112.5
Chicago Bulls,.365,.537,113.4
Los Angeles Lakers,.349,.511,113.5
New York Knicks,.363,.527,113.8
Minnesota Timberwolves,.378,.520,114.0
Cleveland Cavaliers,.380,.561,114.1
Los Angeles Clippers*,.343,.513,114.3
Sacramento Kings,.348,.540,115.3
New Orleans Pelicans,.364,.525,116.8
Phoenix Suns,.372,.538,116.8
Washington Wizards,.370,.542,116.9
Atlanta Hawks,.359,.543,119.4
