Team,3P%,2P%,PTS
Utah Jazz,.362,.474,94.9
Memphis Grizzlies*,.351,.478,95.1
San Antonio Spurs*,.360,.468,97.0
Indiana Pacers,.345,.465,97.0
Atlanta Hawks*,.341,.483,97.1
Charlotte Hornets,.357,.470,97.3
Miami Heat,.353,.495,97.3
Milwaukee Bucks*,.342,.476,97.4
Washington Wizards*,.349,.465,97.8
Chicago Bulls*,.335,.465,97.8
New Orleans Pelicans*,.335,.494,98.6
Portland Trail Blazers*,.338,.468,98.6
Cleveland Cavaliers*,.343,.497,98.7
Detroit Pistons,.355,.491,99.5
Golden State Warriors*,.337,.458,99.9
Los Angeles Clippers*,.349,.481,100.1
Houston Rockets*,.322,.487,100.5
Brooklyn Nets*,.358,.494,100.9
Toronto Raptors*,.346,.501,100.9
Philadelphia 76ers,.350,.487,101.0
Boston Celtics*,.336,.490,101.2
New York Knicks,.380,.490,101.2
Orlando Magic,.368,.499,101.4
Oklahoma City Thunder,.343,.479,101.8
Dallas Mavericks*,.364,.485,102.3
Phoenix Suns,.352,.486,103.3
Sacramento Kings,.349,.500,105.0
Denver Nuggets,.346,.498,105.0
Los Angeles Lakers,.363,.507,105.3
Minnesota Timberwolves,.367,.531,106.5
