Team,3P%,2P%,PTS
Utah Jazz*,.358,.476,96.8
San Antonio Spurs*,.344,.483,98.1
Memphis Grizzlies*,.354,.492,100.0
Dallas Mavericks,.380,.510,100.8
Miami Heat,.343,.490,102.1
Chicago Bulls*,.345,.503,102.4
Detroit Pistons,.366,.502,102.5
Toronto Raptors*,.354,.495,102.6
Milwaukee Bucks*,.353,.512,103.8
Atlanta Hawks*,.357,.491,104.0
Golden State Warriors*,.324,.485,104.3
Los Angeles Clippers*,.350,.497,104.4
Charlotte Hornets,.369,.506,104.7
Indiana Pacers*,.355,.501,105.3
Boston Celtics*,.332,.505,105.4
Oklahoma City Thunder*,.356,.502,105.8
New Orleans Pelicans,.353,.499,106.4
Minnesota Timberwolves,.366,.528,106.7
Sacramento Kings,.364,.517,106.7
Cleveland Cavaliers*,.361,.504,107.2
Washington Wizards*,.364,.514,107.4
Orlando Magic,.367,.510,107.6
New York Knicks,.348,.506,108.0
Philadelphia 76ers,.357,.503,108.1
Portland Trail Blazers*,.370,.489,108.5
Houston Rockets*,.343,.522,109.6
Denver Nuggets,.375,.519,111.2
Los Angeles Lakers,.370,.536,111.5
Brooklyn Nets,.366,.498,112.5
Phoenix Suns,.382,.504,113.3
