Team,3P%,2P%,PTS
Utah Jazz*,.365,.488,99.8
San Antonio Spurs*,.348,.501,99.8
Boston Celtics*,.339,.488,100.4
Miami Heat*,.360,.491,102.9
Portland Trail Blazers*,.364,.484,103.0
Toronto Raptors*,.357,.486,103.9
Detroit Pistons,.359,.515,103.9
Houston Rockets*,.351,.519,103.9
Indiana Pacers*,.349,.530,104.2
Oklahoma City Thunder*,.367,.511,104.4
Philadelphia 76ers*,.342,.482,105.3
Dallas Mavericks,.363,.526,105.4
Memphis Grizzlies,.368,.516,105.5
Sacramento Kings,.377,.527,105.8
Washington Wizards*,.349,.522,106.0
Milwaukee Bucks*,.372,.513,106.8
Minnesota Timberwolves*,.366,.534,107.3
Golden State Warriors*,.357,.490,107.5
Charlotte Hornets,.375,.516,108.0
New York Knicks,.368,.505,108.0
Orlando Magic,.362,.516,108.2
Denver Nuggets,.378,.525,108.5
Atlanta Hawks,.377,.520,108.8
Los Angeles Clippers,.356,.512,109.0
Los Angeles Lakers,.346,.512,109.6
Cleveland Cavaliers*,.368,.533,109.9
Chicago Bulls,.370,.534,110.0
Brooklyn Nets,.369,.503,110.3
New Orleans Pelicans*,.355,.503,110.4
Phoenix Suns,.373,.519,113.3
