Team,3P%,2P%,PTS
Cleveland Cavaliers*,.368,.525,106.9
Miami Heat*,.367,.569,109.8
Philadelphia 76ers*,.348,.553,110.9
Boston Celtics*,.345,.534,111.4
Toronto Raptors,.374,.567,111.4
Phoenix Suns*,.357,.530,111.6
Chicago Bulls,.357,.550,111.8
Denver Nuggets*,.344,.559,112.5
Brooklyn Nets*,.367,.518,112.5
New Orleans Pelicans,.339,.567,112.5
Memphis Grizzlies*,.355,.521,113.0
New York Knicks*,.357,.537,113.1
Los Angeles Clippers*,.365,.539,113.1
Milwaukee Bucks*,.354,.514,113.3
Orlando Magic,.351,.567,114.0
Dallas Mavericks,.352,.562,114.1
Washington Wizards,.366,.534,114.4
Minnesota Timberwolves*,.369,.532,115.8
Oklahoma City Thunder,.358,.553,116.4
Los Angeles Lakers*,.344,.548,116.6
Golden State Warriors*,.364,.536,117.1
Charlotte Hornets,.357,.550,117.2
Portland Trail Blazers,.379,.559,117.4
Utah Jazz,.361,.540,118.0
Sacramento Kings*,.373,.564,118.1
Atlanta Hawks*,.356,.562,118.1
Detroit Pistons,.360,.568,118.5
Houston Rockets,.374,.567,118.6
Indiana Pacers,.373,.551,119.5
San Antonio Spurs,.391,.571,123.1
